# title : Confirmed SARS–CoV–2 infections
# x_label : Day
# y_label : Confirmed
# x_lim : 0.0, 917 + 1.0
# y_log : 1
# location : 4
Germany	Austria	Belgium	Netherlands	France	Italy	Spain		US
103228.0	12626.0	23403.0	21895.0	51250.0	139422.0	148220.0	441897.0
108202.0	12915.0	24983.0	23238.0	55034.0	143626.0	153222.0	477507.0
113525.0	13205.0	26667.0	24565.0	56600.0	147577.0	158273.0	511790.0
117658.0	13481.0	28018.0	25745.0	58045.0	152271.0	163027.0	540714.0
120479.0	13838.0	29647.0	26710.0	108792.0	156363.0	166831.0	567022.0
123016.0	14041.0	30589.0	27578.0	111933.0	159516.0	170099.0	594165.0
125098.0	14152.0	31119.0	28314.0	129381.0	162488.0	172541.0	622493.0
127584.0	14239.0	33573.0	29377.0	132588.0	165155.0	177644.0	648390.0
130450.0	14389.0	34809.0	30618.0	145166.0	168941.0	184948.0	678028.0
133830.0	14518.0	36138.0	31759.0	147057.0	172434.0	190839.0	711135.0
137439.0	14629.0	37183.0	32832.0	150861.0	175925.0	191726.0	738464.0
139897.0	14729.0	38496.0	33588.0	151955.0	178972.0	198674.0	763886.0
141672.0	14789.0	39983.0	34317.0	154402.0	181228.0	200210.0	793970.0
143457.0	14836.0	40956.0	35025.0	157068.0	183957.0	204178.0	820045.0
145694.0	14904.0	41889.0	35919.0	158867.0	187327.0	208389.0	849926.0
148046.0	14974.0	42797.0	36727.0	157158.0	189973.0	213024.0	881891.0
150383.0	15047.0	44293.0	37384.0	159969.0	192994.0	202990.0	913856.0
152438.0	15107.0	45325.0	38039.0	161647.0	195351.0	205905.0	944770.0
154175.0	15186.0	46134.0	38440.0	162280.0	197675.0	207634.0	970741.0
155193.0	15248.0	46687.0	38611.0	165966.0	199414.0	209465.0	995391.0
156337.0	15283.0	47334.0	38998.0	169098.0	201505.0	210773.0	1.019964e6
157641.0	15353.0	47859.0	39512.0	167643.0	203591.0	212917.0	1.046816e6
159119.0	15402.0	48519.0	39987.0	168861.0	205463.0	213435.0	1.076518e6
160758.0	15463.0	49032.0	40434.0	169387.0	207428.0	215216.0	1.11141e6
161703.0	15517.0	49517.0	40769.0	170179.0	209328.0	216582.0	1.138174e6
162496.0	15554.0	49906.0	40968.0	170540.0	210717.0	217466.0	1.161907e6
163175.0	15582.0	50267.0	41285.0	171102.0	211938.0	218011.0	1.185709e6
163860.0	15594.0	50509.0	41518.0	172219.0	213013.0	219329.0	1.209729e6
164807.0	15624.0	50781.0	41973.0	176355.0	214457.0	220325.0	1.234211e6
166091.0	15678.0	51420.0	42292.0	177096.0	215858.0	221447.0	1.26195e6
167300.0	15724.0	52011.0	42581.0	177627.0	217185.0	222857.0	1.289133e6
168551.0	15763.0	52596.0	42826.0	178155.0	218268.0	223578.0	1.313587e6
